C:\Users\Armaan\Desktop\abc\IMG\center_2020_08_03_21_54_55_743.jpg,C:\Users\Armaan\Desktop\abc\IMG\left_2020_08_03_21_54_55_743.jpg,C:\Users\Armaan\Desktop\abc\IMG\right_2020_08_03_21_54_55_743.jpg,0,0,0,1.290001E-06
C:\Users\Armaan\Desktop\abc\IMG\center_2020_08_03_21_54_55_809.jpg,C:\Users\Armaan\Desktop\abc\IMG\left_2020_08_03_21_54_55_809.jpg,C:\Users\Armaan\Desktop\abc\IMG\right_2020_08_03_21_54_55_809.jpg,0,0,0,5.525721E-06
C:\Users\Armaan\Desktop\abc\IMG\center_2020_08_03_21_54_55_879.jpg,C:\Users\Armaan\Desktop\abc\IMG\left_2020_08_03_21_54_55_879.jpg,C:\Users\Armaan\Desktop\abc\IMG\right_2020_08_03_21_54_55_879.jpg,0,0,0,4.00285E-06
C:\Users\Armaan\Desktop\abc\IMG\center_2020_08_03_21_54_55_948.jpg,C:\Users\Armaan\Desktop\abc\IMG\left_2020_08_03_21_54_55_948.jpg,C:\Users\Armaan\Desktop\abc\IMG\right_2020_08_03_21_54_55_948.jpg,0,0,0,1.836185E-06
C:\Users\Armaan\Desktop\abc\IMG\center_2020_08_03_21_54_56_088.jpg,C:\Users\Armaan\Desktop\abc\IMG\left_2020_08_03_21_54_56_088.jpg,C:\Users\Armaan\Desktop\abc\IMG\right_2020_08_03_21_54_56_088.jpg,0,0,0,1.128039E-05
C:\Users\Armaan\Desktop\abc\IMG\center_2020_08_03_21_54_56_155.jpg,C:\Users\Armaan\Desktop\abc\IMG\left_2020_08_03_21_54_56_155.jpg,C:\Users\Armaan\Desktop\abc\IMG\right_2020_08_03_21_54_56_155.jpg,0,0,0,8.939491E-07
C:\Users\Armaan\Desktop\abc\IMG\center_2020_08_03_21_54_56_227.jpg,C:\Users\Armaan\Desktop\abc\IMG\left_2020_08_03_21_54_56_227.jpg,C:\Users\Armaan\Desktop\abc\IMG\right_2020_08_03_21_54_56_227.jpg,0,0,0,5.624969E-06
C:\Users\Armaan\Desktop\abc\IMG\center_2020_08_03_21_54_56_358.jpg,C:\Users\Armaan\Desktop\abc\IMG\left_2020_08_03_21_54_56_358.jpg,C:\Users\Armaan\Desktop\abc\IMG\right_2020_08_03_21_54_56_358.jpg,0,0,0,1.094908E-05
C:\Users\Armaan\Desktop\abc\IMG\center_2020_08_03_21_54_56_428.jpg,C:\Users\Armaan\Desktop\abc\IMG\left_2020_08_03_21_54_56_428.jpg,C:\Users\Armaan\Desktop\abc\IMG\right_2020_08_03_21_54_56_428.jpg,0,0,0,7.851123E-06
C:\Users\Armaan\Desktop\abc\IMG\center_2020_08_03_21_54_56_495.jpg,C:\Users\Armaan\Desktop\abc\IMG\left_2020_08_03_21_54_56_495.jpg,C:\Users\Armaan\Desktop\abc\IMG\right_2020_08_03_21_54_56_495.jpg,0,0,0,1.105228E-06
